iter	Passed	Remaining
0	2	264
1	4	233
2	6	219
3	8	212
4	11	212
5	14	220
6	15	212
7	18	207
8	20	202
9	22	198
10	24	194
11	25	190
12	28	190
13	30	185
14	32	182
15	34	180
16	36	176
17	37	172
18	39	169
19	41	164
20	43	165
21	46	163
22	47	160
23	49	157
24	51	155
25	53	152
26	55	149
27	57	148
28	59	145
29	61	142
30	63	140
31	65	138
32	66	135
33	68	132
34	70	131
35	73	130
36	75	128
37	77	126
38	79	124
39	81	122
40	83	120
41	86	119
42	88	117
43	90	114
44	92	112
45	93	110
46	95	107
47	97	105
48	100	104
49	102	102
50	104	100
51	105	97
52	107	95
53	108	92
54	110	90
55	112	88
56	113	85
57	116	84
58	118	82
59	119	79
60	121	77
61	123	75
62	125	73
63	127	71
64	129	69
65	131	67
66	133	65
67	135	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	145	51
74	147	49
75	148	46
76	150	44
77	151	42
78	152	40
79	154	38
80	155	36
81	157	34
82	158	32
83	159	30
84	160	28
85	161	26
86	162	24
87	163	22
88	164	20
89	165	18
90	166	16
91	167	14
92	168	12
93	169	10
94	170	8
95	171	7
96	172	5
97	172	3
98	173	1
99	174	0
