iter	Passed	Remaining
0	155	155493
1	158	79228
2	160	53478
3	162	40573
4	165	32947
5	167	27830
6	169	24112
7	172	21412
8	174	19263
9	176	17514
10	179	16117
11	181	14967
12	184	13984
13	187	13193
14	189	12454
15	191	11794
16	194	11228
17	196	10728
18	198	10268
19	200	9842
20	203	9464
21	205	9117
22	207	8798
23	209	8530
24	212	8271
25	214	8044
26	217	7826
27	219	7616
28	221	7421
29	223	7239
30	226	7068
31	228	6904
32	230	6748
33	232	6599
34	234	6457
35	235	6318
36	237	6192
37	240	6094
38	242	5978
39	244	5867
40	246	5758
41	248	5656
42	250	5565
43	251	5472
44	255	5412
45	257	5332
46	259	5253
47	261	5176
48	262	5098
49	264	5024
50	267	4983
51	269	4919
52	271	4858
53	273	4797
54	275	4740
55	278	4686
56	280	4639
57	283	4596
58	284	4541
59	286	4490
60	288	4439
61	290	4392
62	292	4343
63	294	4307
64	296	4268
65	298	4229
66	300	4189
67	303	4158
68	305	4127
69	307	4087
70	310	4064
71	312	4032
72	314	3997
73	316	3962
74	318	3930
75	320	3902
76	323	3873
77	325	3842
78	327	3819
79	329	3791
80	331	3761
81	333	3733
82	334	3695
83	336	3670
84	339	3651
85	341	3626
86	343	3604
87	345	3579
88	347	3555
89	349	3533
90	352	3518
91	354	3495
92	356	3475
93	358	3458
94	360	3434
95	362	3412
96	364	3392
97	367	3379
98	368	3357
99	370	3337
100	373	3323
101	375	3305
102	377	3286
103	379	3268
104	381	3250
105	383	3233
106	385	3218
107	387	3202
108	390	3189
109	392	3173
110	394	3159
111	396	3144
112	398	3128
113	400	3112
114	402	3097
115	404	3083
116	406	3065
117	408	3052
118	410	3037
119	412	3025
120	414	3011
121	415	2993
122	418	2981
123	420	2968
124	422	2956
125	424	2942
126	425	2927
127	427	2914
128	429	2900
129	431	2886
130	433	2877
131	436	2868
132	437	2855
133	439	2841
134	441	2828
135	443	2817
136	445	2806
137	447	2797
138	450	2793
139	452	2781
140	455	2772
141	456	2759
142	458	2749
143	460	2739
144	462	2727
145	464	2719
146	467	2710
147	468	2699
148	470	2689
149	473	2680
150	474	2670
151	476	2659
152	480	2657
153	482	2648
154	484	2638
155	485	2629
156	488	2621
157	490	2612
158	492	2603
159	494	2598
160	496	2586
161	498	2579
162	500	2571
163	502	2563
164	505	2556
165	507	2550
166	510	2544
167	512	2537
168	515	2532
169	517	2526
170	519	2519
171	522	2515
172	525	2510
173	527	2503
174	529	2495
175	531	2488
176	533	2480
177	536	2476
178	538	2469
179	540	2464
180	542	2456
181	544	2448
182	546	2440
183	548	2432
184	550	2423
185	551	2414
186	553	2405
187	555	2397
188	556	2389
189	558	2380
190	560	2372
191	561	2363
192	562	2353
193	564	2343
194	565	2333
195	566	2323
196	567	2313
197	568	2303
198	570	2295
199	572	2288
200	573	2279
201	574	2269
202	575	2260
203	576	2250
204	578	2242
205	579	2232
206	580	2223
207	581	2214
208	582	2205
209	584	2197
210	585	2190
211	587	2183
212	588	2175
213	589	2166
214	591	2158
215	592	2150
216	593	2142
217	594	2133
218	595	2124
219	596	2116
220	597	2107
221	598	2098
222	599	2090
223	602	2086
224	604	2081
225	605	2074
226	607	2069
227	608	2061
228	610	2054
229	611	2046
230	612	2039
231	613	2032
232	615	2024
233	616	2019
234	618	2013
235	619	2006
236	620	1998
237	621	1990
238	622	1982
239	623	1975
240	625	1968
241	626	1960
242	627	1953
243	628	1946
244	629	1939
245	630	1931
246	631	1925
247	633	1920
248	635	1915
249	636	1908
250	637	1901
251	638	1893
252	639	1886
253	640	1879
254	641	1873
255	642	1866
256	643	1859
257	644	1852
258	645	1845
259	646	1839
260	647	1833
261	648	1826
262	649	1819
263	650	1812
264	650	1805
265	651	1798
266	652	1791
267	653	1784
268	653	1777
269	654	1770
270	655	1763
271	656	1757
272	657	1750
273	658	1744
274	659	1737
275	660	1731
276	660	1724
277	662	1719
278	663	1714
279	664	1707
280	664	1701
281	665	1695
282	666	1688
283	667	1683
284	668	1676
285	669	1670
286	670	1664
287	670	1658
288	671	1652
289	672	1646
290	673	1640
291	674	1634
292	675	1629
293	676	1623
294	678	1620
295	679	1615
296	680	1609
297	680	1604
298	681	1598
299	682	1593
300	683	1588
301	684	1582
302	685	1577
303	686	1572
304	687	1567
305	688	1561
306	689	1556
307	690	1550
308	691	1545
309	692	1541
310	693	1536
311	694	1531
312	695	1525
313	695	1520
314	696	1515
315	697	1510
316	698	1504
317	699	1499
318	699	1494
319	700	1489
320	701	1484
321	702	1479
322	703	1475
323	705	1471
324	706	1466
325	707	1462
326	708	1458
327	709	1453
328	710	1448
329	711	1443
330	711	1438
331	712	1434
332	713	1429
333	714	1425
334	716	1421
335	717	1417
336	718	1412
337	719	1409
338	720	1405
339	721	1400
340	722	1397
341	723	1392
342	724	1388
343	725	1383
344	726	1378
345	727	1374
346	728	1370
347	728	1365
348	729	1361
349	730	1356
350	731	1352
351	732	1348
352	733	1343
353	734	1340
354	735	1335
355	736	1331
356	736	1327
357	738	1323
358	739	1320
359	740	1315
360	740	1311
361	741	1307
362	742	1302
363	743	1298
364	743	1294
365	744	1290
366	745	1285
367	746	1282
368	747	1277
369	748	1274
370	749	1270
371	749	1265
372	750	1261
373	751	1257
374	752	1253
375	753	1250
376	754	1246
377	755	1242
378	755	1238
379	756	1234
380	757	1230
381	757	1226
382	758	1222
383	759	1218
384	760	1214
385	760	1210
386	761	1206
387	763	1203
388	763	1199
389	764	1195
390	765	1192
391	766	1188
392	766	1184
393	767	1180
394	768	1177
395	769	1173
396	770	1169
397	771	1166
398	771	1162
399	772	1159
400	773	1155
401	774	1152
402	775	1148
403	776	1145
404	777	1142
405	778	1139
406	779	1136
407	780	1132
408	781	1129
409	782	1126
410	783	1123
411	784	1120
412	785	1116
413	786	1113
414	787	1109
415	787	1106
416	788	1102
417	789	1099
418	790	1095
419	791	1092
420	792	1089
421	793	1086
422	794	1083
423	795	1081
424	796	1078
425	797	1075
426	799	1072
427	800	1069
428	801	1066
429	801	1062
430	802	1059
431	803	1056
432	804	1053
433	804	1049
434	805	1046
435	806	1043
436	807	1039
437	807	1036
438	808	1033
439	809	1029
440	809	1026
441	810	1023
442	811	1019
443	811	1016
444	812	1013
445	813	1009
446	813	1006
447	814	1003
448	815	1001
449	816	998
450	817	994
451	817	991
452	818	988
453	819	985
454	820	982
455	820	979
456	821	976
457	822	973
458	823	970
459	823	967
460	824	964
461	825	961
462	826	958
463	827	955
464	827	952
465	828	949
466	829	947
467	830	944
468	831	941
469	832	938
470	833	935
471	834	933
472	835	930
473	835	927
474	836	924
475	837	921
476	837	918
477	838	915
478	839	912
479	840	910
480	840	907
481	841	904
482	842	901
483	843	898
484	843	896
485	844	893
486	845	891
487	846	888
488	847	885
489	848	883
490	849	880
491	850	877
492	850	875
493	851	872
494	852	869
495	853	866
496	853	864
497	854	861
498	855	858
499	856	856
500	856	853
501	857	850
502	858	848
503	859	845
504	860	843
505	861	840
506	862	838
507	863	835
508	863	833
509	864	830
510	865	828
511	866	825
512	867	823
513	867	820
514	868	817
515	869	815
516	869	812
517	870	810
518	871	807
519	872	804
520	872	802
521	873	799
522	874	797
523	874	794
524	875	792
525	877	790
526	878	788
527	879	785
528	879	783
529	880	780
530	881	778
531	882	776
532	883	773
533	884	771
534	885	769
535	886	767
536	886	764
537	887	762
538	888	759
539	889	757
540	890	755
541	892	754
542	893	751
543	894	749
544	894	747
545	895	744
546	896	742
547	897	739
548	897	737
549	898	735
550	899	732
551	900	730
552	900	728
553	901	725
554	902	723
555	903	721
556	903	718
557	905	716
558	906	714
559	907	712
560	907	710
561	908	708
562	909	705
563	910	703
564	910	701
565	911	699
566	912	696
567	913	694
568	914	692
569	914	690
570	915	688
571	916	685
572	917	683
573	918	681
574	919	679
575	920	677
576	920	675
577	921	673
578	922	671
579	923	668
580	924	666
581	924	664
582	925	662
583	926	659
584	927	657
585	928	655
586	928	653
587	929	651
588	930	649
589	931	647
590	933	645
591	934	644
592	935	642
593	937	640
594	938	638
595	939	636
596	939	634
597	940	632
598	941	630
599	942	628
600	942	626
601	943	623
602	944	621
603	945	619
604	945	617
605	946	615
606	947	613
607	948	611
608	949	609
609	950	607
610	950	605
611	951	603
612	952	601
613	953	599
614	954	597
615	955	595
616	956	593
617	957	591
618	958	589
619	959	587
620	960	586
621	961	584
622	962	582
623	963	580
624	964	578
625	965	577
626	967	575
627	968	573
628	969	571
629	970	570
630	971	568
631	973	566
632	974	564
633	975	563
634	976	561
635	977	559
636	978	557
637	979	555
638	981	554
639	982	552
640	983	550
641	984	548
642	984	546
643	985	544
644	986	542
645	987	540
646	987	539
647	988	537
648	989	535
649	990	533
650	991	531
651	992	529
652	992	527
653	993	525
654	994	523
655	994	521
656	995	519
657	996	517
658	996	515
659	997	514
660	998	512
661	999	510
662	1000	508
663	1001	506
664	1001	504
665	1002	502
666	1003	500
667	1004	499
668	1005	497
669	1006	495
670	1006	493
671	1007	491
672	1008	489
673	1009	488
674	1010	486
675	1011	484
676	1012	483
677	1014	481
678	1015	480
679	1016	478
680	1017	476
681	1017	474
682	1019	473
683	1020	471
684	1021	469
685	1021	467
686	1022	465
687	1023	464
688	1024	462
689	1025	460
690	1026	458
691	1027	457
692	1028	455
693	1029	453
694	1030	452
695	1031	450
696	1032	448
697	1033	447
698	1034	445
699	1035	443
700	1036	441
701	1036	440
702	1037	438
703	1038	436
704	1039	434
705	1039	433
706	1040	431
707	1041	429
708	1042	428
709	1043	426
710	1045	424
711	1046	423
712	1047	421
713	1048	419
714	1049	418
715	1050	416
716	1050	414
717	1051	413
718	1052	411
719	1054	409
720	1055	408
721	1060	408
722	1063	407
723	1064	405
724	1065	404
725	1067	402
726	1068	401
727	1069	399
728	1070	397
729	1071	396
730	1072	394
731	1074	393
732	1077	392
733	1078	390
734	1079	389
735	1080	387
736	1081	385
737	1082	384
738	1082	382
739	1083	380
740	1085	379
741	1086	377
742	1086	375
743	1088	374
744	1091	373
745	1092	371
746	1093	370
747	1094	368
748	1095	366
749	1095	365
750	1096	363
751	1097	362
752	1098	360
753	1099	358
754	1100	357
755	1101	355
756	1102	354
757	1105	352
758	1107	351
759	1110	350
760	1111	349
761	1112	347
762	1113	346
763	1114	344
764	1115	342
765	1116	341
766	1118	339
767	1120	338
768	1121	336
769	1122	335
770	1123	333
771	1124	332
772	1125	330
773	1126	328
774	1127	327
775	1127	325
776	1128	323
777	1129	322
778	1130	320
779	1131	319
780	1132	317
781	1133	315
782	1134	314
783	1135	312
784	1136	311
785	1137	309
786	1138	308
787	1139	306
788	1140	304
789	1141	303
790	1141	301
791	1142	300
792	1143	298
793	1143	296
794	1144	295
795	1145	293
796	1146	291
797	1147	290
798	1147	288
799	1149	287
800	1150	285
801	1151	284
802	1152	282
803	1153	281
804	1153	279
805	1154	277
806	1155	276
807	1156	274
808	1157	273
809	1158	271
810	1159	270
811	1160	268
812	1161	267
813	1162	265
814	1163	264
815	1164	262
816	1165	261
817	1166	259
818	1167	258
819	1168	256
820	1169	254
821	1169	253
822	1170	251
823	1171	250
824	1172	248
825	1173	247
826	1174	245
827	1174	244
828	1175	242
829	1176	240
830	1177	239
831	1177	237
832	1178	236
833	1180	234
834	1181	233
835	1182	231
836	1183	230
837	1184	228
838	1184	227
839	1185	225
840	1186	224
841	1187	222
842	1188	221
843	1189	219
844	1189	218
845	1190	216
846	1191	215
847	1192	213
848	1192	212
849	1193	210
850	1194	209
851	1195	207
852	1196	206
853	1197	204
854	1198	203
855	1198	201
856	1199	200
857	1200	198
858	1201	197
859	1202	195
860	1203	194
861	1204	192
862	1204	191
863	1205	189
864	1206	188
865	1206	186
866	1207	185
867	1208	183
868	1208	182
869	1210	180
870	1211	179
871	1211	177
872	1212	176
873	1213	174
874	1214	173
875	1215	171
876	1215	170
877	1216	169
878	1217	167
879	1217	166
880	1218	164
881	1219	163
882	1220	161
883	1220	160
884	1221	158
885	1222	157
886	1222	155
887	1223	154
888	1224	152
889	1225	151
890	1226	150
891	1227	148
892	1228	147
893	1228	145
894	1229	144
895	1230	142
896	1231	141
897	1231	139
898	1232	138
899	1233	137
900	1233	135
901	1234	134
902	1235	132
903	1235	131
904	1236	129
905	1237	128
906	1237	126
907	1238	125
908	1239	124
909	1240	122
910	1241	121
911	1242	119
912	1243	118
913	1244	117
914	1245	115
915	1245	114
916	1246	112
917	1247	111
918	1247	109
919	1248	108
920	1249	107
921	1250	105
922	1250	104
923	1251	102
924	1252	101
925	1252	100
926	1253	98
927	1254	97
928	1255	95
929	1257	94
930	1258	93
931	1259	91
932	1260	90
933	1261	89
934	1261	87
935	1262	86
936	1263	84
937	1264	83
938	1265	82
939	1266	80
940	1266	79
941	1267	78
942	1268	76
943	1269	75
944	1270	73
945	1271	72
946	1272	71
947	1273	69
948	1274	68
949	1274	67
950	1275	65
951	1276	64
952	1277	62
953	1278	61
954	1278	60
955	1279	58
956	1280	57
957	1281	56
958	1282	54
959	1283	53
960	1283	52
961	1284	50
962	1286	49
963	1287	48
964	1288	46
965	1289	45
966	1290	44
967	1290	42
968	1291	41
969	1292	39
970	1292	38
971	1293	37
972	1294	35
973	1295	34
974	1296	33
975	1297	31
976	1297	30
977	1298	29
978	1299	27
979	1301	26
980	1302	25
981	1303	23
982	1304	22
983	1304	21
984	1305	19
985	1306	18
986	1307	17
987	1308	15
988	1309	14
989	1311	13
990	1312	11
991	1312	10
992	1313	9
993	1314	7
994	1316	6
995	1317	5
996	1318	3
997	1319	2
998	1320	1
999	1321	0
